,LDR1,LDR2,button
1681,529,665,0
1682,531,633,0
1683,526,638,0
1684,525,639,0
1685,528,663,0
1686,526,662,0
1687,524,655,0
1688,543,672,0
1689,544,668,0
1690,888,670,1
1691,888,660,1
1692,888,660,1
1693,888,662,1
1694,888,663,1
1695,887,664,1
1696,888,670,1
1697,887,663,1
1698,888,669,1
1699,888,678,1
1700,887,682,1
1701,587,682,0
1702,531,671,0
1703,528,630,0
1704,523,624,0
1705,524,625,0
1706,524,624,0
1707,557,658,0
1708,560,665,0
1709,512,668,0
1710,498,669,0
1711,533,674,0
1712,561,677,0
1713,898,622,1
1714,898,664,1
1715,897,625,1
1716,898,666,1
1717,898,673,1
1718,898,677,1
1719,898,670,1
1720,898,673,1
1721,897,640,1
1722,897,620,1
1723,896,624,1
1724,896,614,1
1725,896,604,1
1726,896,616,1
1727,897,597,1
1728,897,627,1
1729,531,663,0
1730,534,666,0
1731,527,640,0
1732,897,630,1
1733,897,610,1
1734,897,589,1
1735,897,639,1
1736,538,650,0
1737,426,633,0
1738,378,635,0
1739,397,648,0
1740,385,646,0
1741,367,647,0
1742,488,649,0
1743,885,643,1
1744,886,645,1
1745,886,652,1
1746,886,672,1
1747,886,672,1
1748,886,678,1
1749,886,673,1
1750,886,672,1
1751,885,628,1
1752,885,612,1
1753,885,615,1
1754,881,613,1
1755,882,599,1
1756,876,596,1
1757,884,596,1
1758,884,599,1
1759,373,590,0
1760,399,597,0
1761,444,592,0
1762,479,600,0
1763,447,601,0
1764,436,601,0
1765,460,598,0
1766,510,639,0
1767,578,706,0
1768,582,709,0
1769,571,695,0
1770,562,689,0
1771,559,683,0
1772,558,677,0
1773,558,681,0
1774,560,687,0
1775,558,684,0
1776,561,688,0
1777,565,691,0
1778,563,689,0
1779,566,693,0
1780,697,750,0
1781,694,792,0
1782,625,765,0
1783,672,799,0
1784,693,840,0
1862,899,893,1
1863,896,875,1
1864,890,724,1
1865,893,844,1
1866,664,828,0
1867,610,824,0
1868,600,815,0
1869,709,821,0
1870,735,842,0
1871,727,836,0
1872,700,821,0
1873,681,806,0
1874,640,771,0
1875,653,785,0
1876,567,750,0
1877,564,736,0
1878,601,740,0
1879,600,734,0
1880,892,735,1
1881,892,733,1
1882,891,716,1
1883,891,710,1
1884,891,709,1
1885,585,707,0
1886,671,835,0
1887,729,884,0
2156,749,895,0
2157,725,879,0
2158,713,870,0
2159,694,856,0
2160,679,844,0
2161,645,818,0
2162,619,798,0
2163,621,797,0
2164,639,808,0
2165,636,801,0
2166,625,784,0
2167,886,758,1
2168,885,753,1
2169,886,780,1
2170,886,775,1
2171,885,768,1
2172,886,756,1
2173,882,553,1
2174,880,365,1
2175,370,360,0
2176,272,240,0
2177,357,392,0
2178,348,356,0
2179,343,331,0
2180,343,332,0
2181,343,329,0
