"id","LDR1","LDR2","button"
"4421","591","1023","279"
"4422","591","1023","279"
"4423","591","1023","279"
"4424","591","1023","279"
"4425","591","1023","279"
"4426","590","1023","279"
"4427","592","1023","279"
"4428","589","1023","279"
"4429","593","1023","279"
"4430","828","1023","383"
"4431","588","1023","279"
"4432","858","1023","383"
"4433","858","1023","383"
"4434","595","1023","278"
"4435","591","1023","279"
"4436","858","1023","383"
"4437","590","1023","278"
"4438","588","1023","279"
"4439","590","1023","279"
"4440","591","1023","279"
"4441","591","1023","279"
"4442","591","1023","279"
"4443","591","1023","279"
"4444","591","1023","279"
"4445","592","1023","279"
"4446","592","1023","279"
"4447","591","1023","279"
"4448","591","1023","279"
"4449","592","1023","279"
"4450","591","1023","279"
"4451","592","1023","279"
"4452","591","1023","279"
"4453","591","1023","279"
"4454","592","1023","279"
"4455","591","1023","279"
"4456","591","1023","279"
"4457","591","1023","279"
"4458","594","1023","279"
"4459","595","1023","279"
"4460","597","1023","279"
"4461","596","1023","279"
"4462","594","1023","279"
"4463","594","1023","279"
"4464","593","1023","280"
"4465","599","1023","279"
"4466","594","1023","279"
"4467","594","1023","279"
"4468","595","1023","278"
"4469","594","1023","279"
"4470","595","1023","279"
"4471","593","1023","279"
"4472","858","1023","383"
"4473","858","1023","383"
"4474","600","1023","279"
"4475","858","1023","383"
"4476","859","1023","383"
"4477","601","1023","278"
"4478","600","1023","278"
"4479","601","1023","280"
"4480","603","1023","279"
"4481","603","1023","279"
"4482","859","1023","383"
"4483","859","1023","383"
"4484","859","1023","383"
"4485","622","1023","278"
"4486","610","1023","278"
"4487","618","1023","279"
"4488","859","1023","383"
"4489","860","1023","383"
"4490","615","1023","278"
"4491","610","1023","279"
"4492","861","1023","383"
"4493","860","1023","383"
"4494","672","1023","277"
"4495","644","1023","278"
"4496","860","1023","383"
"4497","652","1023","278"
"4498","662","1023","279"
"4499","865","1023","383"
"4500","867","1023","383"
"4501","649","1023","279"
"4502","868","1023","383"
"4503","866","1023","383"
"4504","718","1023","279"
"4505","741","1023","279"
"4506","728","1023","279"
"4507","873","1023","383"
"4508","873","1023","383"
"4509","874","1023","383"
"4510","773","1023","278"
"4511","778","1023","279"
"4512","790","1023","280"
"4513","814","1023","279"
"4514","802","1023","281"
"4515","874","1023","383"
"4516","882","1023","383"
"4517","883","1023","383"
"4518","884","1023","383"
"4519","884","1023","383"
"4520","772","1023","278"
"4521","882","1023","383"
"4522","808","1023","279"
"4523","779","1023","279"
"4524","794","1023","279"
"4525","792","1023","278"
"4526","798","1023","279"
"4527","759","1023","278"
"4528","687","1023","279"
"4529","874","1023","383"
"4530","876","1023","383"
"4531","875","1023","383"
"4532","873","1023","383"
"4533","869","1023","383"
"4534","869","1023","383"
"4535","871","1023","383"
"4536","869","1023","383"
"4537","698","1023","278"
"4538","715","1023","278"
"4539","696","1023","281"
"4540","628","1023","279"
"4541","588","1023","278"
"4542","543","1023","278"
"4543","524","1023","278"
"4544","530","1023","279"
"4545","525","1023","279"
"4546","524","1023","279"
"4547","617","1023","279"
"4548","519","1023","279"
"4549","513","1023","279"
"4550","510","1023","279"
"4551","522","1023","278"
"4552","532","1023","279"
"4553","514","1023","278"
"4554","514","1023","279"
"4555","605","1023","279"
"4556","615","1023","279"
"4557","609","1023","279"
"4558","595","1023","278"
"4559","605","1023","279"
"4560","845","1023","383"
"4561","844","1023","383"
"4562","844","1023","383"
"4563","844","1023","383"
"4564","844","1023","383"
"4565","844","1023","383"
"4566","844","1023","383"
"4567","606","1023","278"
"4568","603","1023","278"
"4569","599","1023","279"
"4570","595","1023","279"
"4571","842","1023","383"
"4572","843","1023","383"
"4573","842","1023","383"
"4574","842","1023","383"
"4575","842","1023","383"
"4576","842","1023","383"
"4577","594","1023","277"
"4578","594","1023","277"
"4579","594","1023","278"
"4580","594","1023","279"
"4581","596","1023","278"
"4582","601","1023","278"
"4583","604","1023","278"
"4584","812","1023","383"
"4585","843","1023","383"
"4586","844","1023","383"
"4587","639","1023","278"
"4588","656","1023","278"
"4589","663","1023","278"
"4590","653","1023","278"
"4591","853","1023","383"
"4592","854","1023","383"
"4593","855","1023","383"
"4594","728","1023","278"
"4595","759","1023","278"
"4596","762","1023","279"
"4597","770","1023","278"
"4598","862","1023","383"
"4599","865","1023","383"
"4600","864","1023","383"
"4601","866","1023","383"
"4602","865","1023","383"
"4603","864","1023","383"
"4604","766","1023","278"
"4605","777","1023","277"
"4606","755","1023","278"
"4607","723","1023","279"
"4608","701","1023","279"
"4609","852","1023","383"
"4610","852","1023","383"
"4611","852","1023","383"
"4612","851","1023","383"
"4613","849","1023","383"
"4614","849","1023","383"
"4615","681","1023","278"
"4616","685","1023","278"
